X,Y,region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,geometry,temperature,land_cover,theta,presence_absence,observation
0.0610117646312468,46.4597666744308,NOUVELLE-AQUITAINE,145,11.89,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Semi ombrage,Ouest,0,1,0,,0.0610117646312468|46.4597666744308,8.14504432678223,Extensive fields,0.371735572442102,0,Species not observed
-0.373421824935793,46.2088791273717,NOUVELLE-AQUITAINE,34,9.01,1,Mais,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Fond de vallee,0,Semi ombrage,Information inconnue,0,1,0,,-0.373421824935793|46.2088791273717,8.8101749420166,Extensive fields,0.942723073486386,1,Species observed
-0.343109586131914,46.2967379920278,NOUVELLE-AQUITAINE,22,9.71,1,Ble,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Information inconnue,0,0,0,,-0.343109586131914|46.2967379920278,8.81911659240723,Extensive fields,0.945089910858664,1,Species observed
-3.86836946018312,48.5383759966823,BRETAGNE,60,1.5,1,Salade,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone maraichere,Zone maraichere,Bas de coteau,0,Plein soleil,Information inconnue,0,1,0,,-3.86836946018312|48.5383759966823,8.21804237365723,Extensive fields,0.460137745412715,0,Species not observed
-3.92068767283785,48.5814167640018,BRETAGNE,5,1.2,1,Salade,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone maraichere,Zone maraichere,Zone maritime bande cotiere,0,Plein soleil,Ouest,0,0,0,,-3.92068767283785|48.5814167640018,8.92168617248535,Extensive fields,0.966379832963741,1,Species observed
9.44439201360256,42.2350287103897,CORSE,45,0.72,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,Autres,Bassin viticole,Bassin viticole,Bas de coteau,1,Plein soleil,Information inconnue,0,1,0,,9.44439201360256|42.2350287103897,10.4206790924072,Agro-natural fields,0.402128408801135,0,Species not observed
9.50166746430828,42.3827107382533,CORSE,,,0,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Bassin arboricole,Bassin arboricole,Fond de vallee,0,Plein soleil,Information inconnue,0,1,0,,9.50166746430828|42.3827107382533,11.6031131744385,Extensive fields,0.999999947663192,1,Species observed
-2.05201732393883,48.3899002563025,BRETAGNE,30,2.63,1,Mais,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Bas de coteau,0,Plein soleil,Information inconnue,0,0,0,,-2.05201732393883|48.3899002563025,8.2575626373291,Extensive fields,0.509452170432898,1,Species observed
9.47100305866737,41.9938236745872,CORSE,15,0.55,1,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,Bocage a dominante polyculture elevage,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Information inconnue,0,0,0,,9.47100305866737|41.9938236745872,12.7753238677979,Extensive fields,0.999999999850932,1,Species observed
9.46276918258319,42.5916208969934,CORSE,8,1.3,1,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,Bocage a dominante polyculture elevage,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Information inconnue,0,1,0,,9.46276918258319|42.5916208969934,12.7578067779541,Extensive fields,0.999999999837287,1,Species observed
9.58785514037814,42.1497243184519,CORSE,9,1,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"Milieux aquatiques, zones humides",Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Information inconnue,0,0,0,,9.58785514037814|42.1497243184519,,Agro-natural fields,,,
9.54148426890111,42.280415986275,CORSE,68,0.25,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,Paysage mixte,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Information inconnue,0,0,0,,9.54148426890111|42.280415986275,11.6479740142822,Agro-natural fields,0.996795118298008,1,Species observed
9.54035583158341,42.3414854762268,CORSE,42,0.25,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Information inconnue,0,0,0,,9.54035583158341|42.3414854762268,11.6031131744385,Agro-natural fields,0.995992475054454,1,Species observed
